epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,265.594,1.15868,0.90065,1.15127,1,0.8406,0.92318,0.50414,1.45582,1.85243,1.55248,0.0011684,0.0011684,0.0011684
44,271.817,1.18371,0.77685,1.1762,0.98787,0.92308,0.96833,0.55791,1.39849,1.04378,1.46824,0.0011486,0.0011486,0.0011486
45,277.899,1.25644,0.80069,1.22806,0.98979,0.92308,0.97853,0.58393,1.34408,0.92085,1.42592,0.0011288,0.0011288,0.0011288
46,283.912,1.08869,0.7648,1.14121,0.98828,0.92308,0.98188,0.50733,1.64193,0.97142,1.65071,0.001109,0.001109,0.001109
47,289.942,1.09567,0.77546,1.13062,0.99629,0.92308,0.97853,0.58855,1.50889,0.86529,1.4931,0.0010892,0.0010892,0.0010892
48,296.738,1.21151,0.83187,1.18258,0.99243,0.92308,0.97853,0.6284,1.42627,0.81413,1.46297,0.0010694,0.0010694,0.0010694
49,302.705,1.1062,0.74186,1.14475,0.99095,0.92308,0.98188,0.6172,1.36408,0.77762,1.44656,0.0010496,0.0010496,0.0010496
50,308.76,1.18957,0.74058,1.25247,0.99234,0.92308,0.99,0.64266,1.30037,0.77099,1.41118,0.0010298,0.0010298,0.0010298
51,314.777,1.16577,0.68553,1.21668,1,0.99437,0.995,0.55707,1.39947,0.78728,1.46477,0.00101,0.00101,0.00101
52,320.753,1.07904,0.75187,1.11383,0.99546,1,0.995,0.5868,1.37343,0.75965,1.40722,0.0009902,0.0009902,0.0009902
53,326.53,1.07967,0.71035,1.15515,0.99362,1,0.995,0.63292,1.30618,0.71394,1.34276,0.0009704,0.0009704,0.0009704
54,332.454,1.15336,0.72709,1.16357,0.99511,1,0.995,0.64589,1.26457,0.67098,1.31302,0.0009506,0.0009506,0.0009506
55,338.422,1.14178,0.70839,1.16702,0.99571,1,0.995,0.60691,1.42298,0.72468,1.49201,0.0009308,0.0009308,0.0009308
56,344.471,1.12031,0.68301,1.12771,0.9938,1,0.995,0.57287,1.45053,0.74801,1.50006,0.000911,0.000911,0.000911
57,350.44,1.1807,0.81309,1.26888,0.99299,1,0.995,0.57143,1.46376,0.74801,1.50225,0.0008912,0.0008912,0.0008912
58,357.095,1.10786,0.72309,1.16886,0.99934,1,0.995,0.52967,1.5488,0.78334,1.66672,0.0008714,0.0008714,0.0008714
59,364.655,0.9992,0.672,1.10058,1,0.91523,0.951,0.49391,1.66221,1.01057,1.83419,0.0008516,0.0008516,0.0008516
60,370.226,1.04057,0.64294,1.08761,1,0.99886,0.995,0.53943,1.57659,0.79282,1.67197,0.0008318,0.0008318,0.0008318
61,376.009,1.05799,0.75101,1.19597,0.99456,1,0.995,0.58087,1.44137,0.71016,1.47996,0.000812,0.000812,0.000812
62,381.989,0.99942,0.66331,1.09575,0.98412,1,0.995,0.66491,1.18607,0.64028,1.28347,0.0007922,0.0007922,0.0007922
63,388.056,1.036,0.68087,1.08345,0.99087,1,0.995,0.69634,1.09126,0.62631,1.23881,0.0007724,0.0007724,0.0007724
64,393.957,1.03713,0.65179,1.11661,0.99807,1,0.995,0.69833,1.10701,0.60367,1.22921,0.0007526,0.0007526,0.0007526
65,399.732,1.00256,0.69185,1.12682,0.99861,1,0.995,0.66842,1.18483,0.63281,1.27455,0.0007328,0.0007328,0.0007328
66,405.575,0.98569,0.63648,1.10254,0.99443,1,0.995,0.63616,1.30662,0.66391,1.40757,0.000713,0.000713,0.000713
67,411.539,1.03259,0.68059,1.16995,0.9944,1,0.995,0.58804,1.3868,0.69848,1.55611,0.0006932,0.0006932,0.0006932
68,417.856,0.91443,0.59276,1.07036,0.9946,1,0.995,0.55095,1.48305,0.71037,1.63875,0.0006734,0.0006734,0.0006734
69,424.438,1.04619,0.64145,1.10502,0.99443,1,0.995,0.58261,1.46025,0.69812,1.59313,0.0006536,0.0006536,0.0006536
